subject_index,subject_name,pc1,pc2,pc3
0,B_Australian-3,0.1487169561718059,-0.6705713069523378,-0.6504467177528435
1,B_Australian-4,0.13819837640711405,-0.7231742711386185,-0.6519579318979571
2,B_Crete-1,-0.0503148599339769,0.476892088448937,-0.11170243385692147
3,B_Crete-2,-0.21042214046897073,0.45403091618312486,-0.08671064689419729
4,B_Dai-4,-0.4375920827186468,-0.31321734577318794,0.16563845257624754
5,B_Dinka-3,1.2529368325864365,-0.00046180337217715937,0.07777411725797714
6,B_French-3,-0.22241216461336516,0.49177677839214057,-0.15569301736198818
7,B_Han-3,-0.53136198183432,-0.3574919269705596,0.1841814106673171
8,B_Ju_hoan_North-4,1.81270380188298,-0.13572601483609936,0.17777520121564233
9,B_Karitiana-3,-0.050267526233343324,-0.2498608163085666,0.4532814218537905
10,B_Mandenka-3,1.2003746027011382,0.0482157935488659,0.10194007592272226
11,B_Mbuti-4,1.8155850662471424,-0.13109506152100647,0.1696499659500045
12,B_Mixe-1,-0.3169062327852959,-0.2737357061568134,0.41464890626575857
13,B_Papuan-15,0.13193738060202287,-0.8131926921932883,-0.8094010288370557
14,B_Sardinian-3,-0.1014215914353701,0.5258700239395577,-0.11060873788911836
15,B_Yoruba-3,1.463759551108651,-0.03257968638760193,0.1500750544214635
16,S_Abkhasian-1,-0.33247084406072835,0.4498656863367069,-0.15580586516843184
17,S_Abkhasian-2,-0.2005276916374042,0.4925713066799375,-0.23462146474940543
18,S_Adygei-1,-0.01809783267067387,0.3630761420846789,-0.13996985964817163
19,S_Adygei-2,-0.03113193569761449,0.37948971760673184,-0.14737730266115823
20,S_Albanian-1,0.11133567429835171,0.42358493983688633,-0.21508699785816704
21,S_Aleut-1,-0.49819034938739487,0.16084669985489333,0.21793006331257275
22,S_Aleut-2,-0.2392351853957042,-0.00922034535349724,0.1646238403600508
23,S_Altaian-1,-0.48341978498091814,0.04902859327338771,0.13046788300511983
24,S_Ami-1,-0.4352672564735557,-0.4250344026731575,0.24040860258660862
25,S_Ami-2,-0.5590286410292259,-0.3813355420295229,0.235356938784063
26,S_Armenian-1,-0.1815026290996878,0.3975221887746469,-0.14135578419506162
27,S_Armenian-2,-0.08401185123384843,0.4482698385338108,-0.12640905194608645
28,S_Atayal-1,-0.34657606824580794,-0.47777440849163283,0.2896188291783438
