subject_index,subject_name,cluster,distance_to_medoid
0,B_Australian-3,1,0.7790842328345232
1,B_Australian-4,1,0.7835566636442111
2,B_Crete-1,3,0.722379833530299
3,B_Crete-2,3,0.7074769359619004
4,B_Dai-4,1,0.6962465811153302
5,B_Dinka-3,4,0.7796175292181802
6,B_French-3,3,0.7266125503371517
7,B_Han-3,1,0.7037646167654652
8,B_Ju_hoan_North-4,4,0.7906317497680846
9,B_Karitiana-3,2,0.6721241149075005
10,B_Mandenka-3,4,0.7675499457588991
11,B_Mbuti-4,4,0.7834416695638187
12,B_Mixe-1,2,0.6606725560521749
13,B_Papuan-15,1,0.8027893298951357
14,B_Sardinian-3,3,0.7259631294140695
15,B_Yoruba-3,4,0.7453315568418701
16,S_Abkhasian-1,0,0.0
17,S_Abkhasian-2,3,0.7320654559629328
18,S_Adygei-1,0,0.745093543816726
19,S_Adygei-2,0,0.7430184593254188
20,S_Albanian-1,0,0.7701198587876286
21,S_Aleut-1,2,0.7294170523463117
22,S_Aleut-2,2,0.764500771228645
23,S_Altaian-1,4,0.8381274095795715
24,S_Ami-1,1,0.684444490045142
25,S_Ami-2,2,0.7500818398056753
26,S_Armenian-1,3,0.7235849794334535
27,S_Armenian-2,0,0.7323194873832476
28,S_Atayal-1,2,0.7661653482204129
29,S_Balochi-1,0,0.7559479627921557
30,S_Balochi-2,0,0.7371272669906127
31,S_BantuHerero-1,4,0.7593670710545931
32,S_BantuHerero-2,4,0.7779367564337405
33,S_BantuKenya-1,4,0.7525860089047212
34,S_BantuKenya-2,4,0.7524359208139356
35,S_BantuTswana-1,4,0.752759854091537
36,S_BantuTswana-2,4,0.7576172202792874
37,S_Basque-1,3,0.7028595613882117
38,S_Basque-2,3,0.7011327767595208
39,S_BedouinB-1,4,0.8430957194862011
40,S_BedouinB-2,4,0.8254798395931049
41,S_Bengali-1,1,0.7507400720742845
42,S_Bengali-2,0,0.7474020597262718
43,S_Bergamo-1,0,0.7375573639396135
44,S_Bergamo-2,0,0.7596522494691276
