subject_index,subject_name,cluster,distance_to_medoid
0,B_Australian-3,0,0.6367764393313946
1,B_Australian-4,0,0.6466866201088127
2,B_Crete-1,3,0.7675951639190168
3,B_Crete-2,3,0.7663433865601348
4,B_Dai-4,3,0.7145837153687477
5,B_Dinka-3,4,0.7802781964614752
6,B_French-3,3,0.7476870725075434
7,B_Han-3,3,0.7111033164057547
8,B_Ju_hoan_North-4,4,0.7551148279710965
9,B_Karitiana-3,3,0.7795940664961128
10,B_Mandenka-3,4,0.7762311445694209
11,B_Mbuti-4,4,0.7801539008795797
12,B_Mixe-1,3,0.7447254426084
13,B_Papuan-15,0,0.5985239146477833
14,B_Sardinian-3,3,0.7786153781082217
15,B_Yoruba-3,4,0.7665003854719314
16,S_Abkhasian-1,3,0.7520062011986189
17,S_Abkhasian-2,3,0.7488568358165474
18,S_Adygei-1,3,0.7533143903052409
19,S_Adygei-2,3,0.7505303342110393
20,S_Albanian-1,3,0.7844747974425915
21,S_Aleut-1,3,0.734789870790325
22,S_Aleut-2,3,0.7448068950799247
23,S_Altaian-1,3,0.7329307181627531
24,S_Ami-1,3,0.7221582226858149
25,S_Ami-2,3,0.7102688140519788
26,S_Armenian-1,3,0.7636629604455903
27,S_Armenian-2,3,0.7559541183883172
28,S_Atayal-1,3,0.7385752318253579
29,S_Balochi-1,3,0.7429220173612874
30,S_Balochi-2,3,0.7489484875113538
31,S_BantuHerero-1,4,0.7692204675595147
32,S_BantuHerero-2,4,0.8016146536742339
33,S_BantuKenya-1,4,0.7720048618225872
34,S_BantuKenya-2,2,0.7524359208139356
35,S_BantuTswana-1,4,0.0
36,S_BantuTswana-2,4,0.7536182989075112
37,S_Basque-1,3,0.7308184455047134
38,S_Basque-2,3,0.7622266900261133
39,S_BedouinB-1,3,0.775768709083228
40,S_BedouinB-2,3,0.7867527001206842
41,S_Bengali-1,3,0.7284070693551603
42,S_Bengali-2,3,0.7348918111029854
43,S_Bergamo-1,3,0.7507857538059252
44,S_Bergamo-2,3,0.7711088427168439
45,S_Biaka-1,4,0.7738189873499577
46,S_Biaka-2,4,0.7798386178888023
47,S_Bougainville-1,0,0.6666988479855988
48,S_Bougainville-2,3,0.7524815781648342
49,S_Brahmin-1,3,0.7581172082486161
50,S_Brahmin-2,3,0.7285127449066674
51,S_Brahui-1,3,0.7370658571085726
52,S_Brahui-2,3,0.7641108996479936
53,S_Bulgarian-1,3,0.7537211504866886
54,S_Bulgarian-2,3,0.7629722281993281
55,S_Burmese-1,3,0.7163301996259939
56,S_Burmese-2,3,0.7066870630205805
57,S_Burusho-1,3,0.7457860562435642
58,S_Burusho-2,3,0.7652982914097056
59,S_Cambodian-1,3,0.7050307007545384
60,S_Cambodian-2,3,0.6933186822724126
61,S_Chane-1,3,0.7505990103112933
62,S_Chechen-1,3,0.7444237252702919
63,S_Chukchi-1,3,0.7238463587787592
64,S_Czech-2,3,0.774927216449696
65,S_Dai-1,3,0.7024530663117169
66,S_Dai-2,3,0.705599109020499
67,S_Dai-3,3,0.7103280219166054
68,S_Daur-2,3,0.7145857657951545
69,S_Dinka-1,4,0.7897240015776535
70,S_Dinka-2,2,0.7558729686827605
71,S_Druze-1,3,0.7433163690806318
72,S_Druze-2,3,0.7837708006525889
73,S_Dusun-1,3,0.7322949032487474
74,S_Dusun-2,3,0.7488348139356362
75,S_English-1,3,0.75685581066201
76,S_English-2,3,0.7644674955364127
77,S_Esan-1,4,0.7815490192296448
78,S_Esan-2,4,0.7792785856565142
79,S_Eskimo_Chaplin-1,3,0.720297752971655
80,S_Eskimo_Naukan-1,3,0.742077715579405
81,S_Eskimo_Naukan-2,3,0.7426222136837896
82,S_Eskimo_Sireniki-1,3,0.7191959311201708
83,S_Eskimo_Sireniki-2,3,0.7256150477783312
84,S_Estonian-1,3,0.7436906310686631
85,S_Estonian-2,3,0.7387993227414487
86,S_Even-1,3,0.7113115703030349
87,S_Even-2,3,0.7438277546920944
88,S_Even-3,3,0.713539396666169
89,S_Finnish-1,3,0.7730029303175142
90,S_Finnish-2,3,0.7729053194662183
91,S_Finnish-3,3,0.7416038975514672
92,S_French-1,3,0.7600184336586799
93,S_French-2,3,0.7829752604027715
94,S_Gambian-1,4,0.762819654158468
95,S_Gambian-2,4,0.792190804311339
96,S_Georgian-1,3,0.744702001226404
97,S_Georgian-2,3,0.7564097119901563
98,S_Greek-1,3,0.7397674583337148
99,S_Greek-2,3,0.7674055071564224
100,S_Han-1,3,0.6946746838591404
101,S_Han-2,3,0.6924264083806865
102,S_Hawaiian-1,3,0.725593204267826
103,S_Hazara-1,3,0.723832388150273
104,S_Hazara-2,3,0.7813585699279811
105,S_Hezhen-1,3,0.7047857276470186
106,S_Hezhen-2,3,0.7364141316532946
107,S_Hungarian-1,3,0.7520784535861419
108,S_Hungarian-2,3,0.7624335216981318
109,S_Icelandic-1,3,0.7456199386926923
110,S_Icelandic-2,3,0.7347449982743458
111,S_Igorot-1,3,0.7320575202324583
112,S_Igorot-2,3,0.7465133191676248
113,S_Iranian-1,3,0.7747661577533133
114,S_Iranian-2,3,0.7588713861856152
115,S_Iraqi_Jew-1,3,0.7780655778195323
116,S_Iraqi_Jew-2,3,0.7599011081788776
117,S_Irula-1,3,0.7304986078744607
